Budget,Duration,Cast_Rating,Director_Rating,Success
120,140,8,7,Hit
25,95,5,4,Flop
150,160,9,8,Hit
15,85,3,2,Flop
180,150,9,9,Hit
40,100,6,5,Flop
200,170,8,8,Hit
20,90,4,3,Flop
130,135,7,6,Hit
30,100,5,4,Flop
170,145,8,7,Hit
22,88,4,3,Flop
140,130,7,6,Hit
28,92,5,4,Flop
160,155,9,8,Hit
18,85,3,2,Flop
190,165,9,9,Hit
35,98,5,4,Flop
125,132,7,6,Hit
27,90,4,3,Flop
175,150,8,7,Hit
24,86,3,2,Flop
145,140,7,7,Hit
32,94,5,4,Flop
185,160,9,8,Hit
20,88,4,3,Flop
135,128,7,6,Hit
26,92,4,3,Flop
155,150,8,7,Hit
23,85,3,2,Flop
195,170,9,9,Hit
30,96,5,4,Flop
110,125,7,6,Hit
21,89,4,3,Flop
165,145,8,7,Hit
29,93,5,4,Flop
150,135,7,6,Hit
19,84,3,2,Flop
180,160,9,8,Hit
33,97,5,4,Flop
125,130,7,6,Hit
22,87,4,3,Flop
170,155,8,7,Hit
28,95,5,4,Flop
140,138,7,6,Hit
24,89,4,3,Flop
190,165,9,9,Hit
27,92,5,4,Flop
