id,name,description
1,Apple iPhone 15,Latest Apple smartphone with A17 chip and improved camera system
2,Samsung Galaxy S23,Flagship Android phone with Snapdragon processor and AMOLED display
3,Google Pixel 8,Smartphone with Tensor chip and advanced AI-powered camera
4,OnePlus 11,High performance smartphone with fast charging and fluid AMOLED screen
5,Sony WH-1000XM5,Noise-cancelling wireless headphones with long battery life
6,Bose QuietComfort 45,Comfortable headphones with active noise cancellation
7,JBL Flip 6,Portable waterproof Bluetooth speaker with deep bass
8,Marshall Emberton,Compact speaker with classic Marshall design and clear sound
9,Nike Air Max 270,Comfortable and stylish sneakers with cushioned sole
10,Adidas Ultraboost,Running shoes designed for comfort and energy return
11,Puma RS-X,Trendy sneakers with retro-inspired design and lightweight feel
12,Apple MacBook Air M2,Lightweight laptop with M2 chip and Retina display
13,Dell XPS 13,Premium ultrabook with slim design and powerful performance
14,HP Spectre x360,Convertible laptop with touchscreen and long battery life
15,Samsung Galaxy Tab S9,High-end Android tablet with AMOLED display and S Pen support
16,Apple iPad Pro 12.9,Tablet with M2 chip and advanced Liquid Retina display
17,Amazon Echo Dot (5th Gen),Smart speaker with Alexa voice assistant
18,Google Nest Hub 2,Smart display with Google Assistant and smart home control
19,Sony PlayStation 5,Next-gen gaming console with ultra-fast SSD and 4K gaming
20,Microsoft Xbox Series X,Powerful gaming console with high frame rates and Game Pass support
